Time,1,2,3,4,5,6,7,8,9,10
0,50,50,50,50,50,50,50,50,50,50
0.25,40,50,50,50,80,70,70,60,50,10
0.5,30,40,50,50,70,50,50,40,10,15
0.75,20,30,40,50,60,50,30,20,10,20
1,10,20,30,40,50,50,30,20,20,25
1.25,10,17.5,25,32.5,50,50,30,20,30,30
1.5,10,15,20,25,50,50,30,20,40,35
1.75,10,12.5,15,17.5,50,50,40,35,45,42.5
2,10,10,10,10,10,10,10,10,10,10
