Speed,Load,BSFC,BSNO,BSPM,Boost,VGTPosition,EGRMass,EGRPosition,Fuel,RawNO,RawPM,LFE
1200,100,232.5366767,2.335754639,0.034464008,2.63,25,29.8294,90,5.3131,183.4151,1.6576,285.6572
1200,200,174.19571,1.728901212,0.039534047,9.071,32.5,27.5573,90,7.9602,239.7011,3.3572,321.6394
1200,300,158.6060233,1.367230982,0.017003836,21.633,40,31.0422,90,10.8717,252.4852,1.9233,360.3076
1200,400,152.5541875,1.35903315,0.03840949,36.859,42.5,30.8031,70,13.9425,298.3473,5.1646,402.3748
1200,500,149.613724,1.398892351,0.036914634,56.118,45,32.0847,50,17.0922,320.2697,5.1765,481.9014
