Time,1,2,3,4,5,6,7,8,9,10
0,25,25,25,25,25,25,25,25,25,25
0.25,28.75,29.25,29.5,29.75,30,35,35,40,50,60
0.5,32.5,33.5,34,34.5,35,45,45,60,60,60
0.75,37.25,37.75,38.5,39.25,40,45,55,60,55,57.5
1,40,41.25,42.5,43.75,45,45,55,55,50,55
1.25,41.25,42.1875,43.125,44.0625,45,45,55,52.5,45,50
1.5,42.5,43.125,43.75,44.375,45,45,55,50,45,47.5
1.75,43.75,44.0625,44.375,44.6875,45,45,45,47.5,45,45
2,45,45,45,45,45,45,45,45,45,45
