Time,1,2,3,4,5,6,7,8,9,10
0,90,90,90,90,90,90,90,90,90,90
0.25,90,80,80,80,80,70,70,60,50,10
0.5,90,80,70,70,70,50,50,40,10,15
0.75,90,80,70,60,60,50,30,20,10,20
1,90,80,70,60,50,50,30,20,20,25
1.25,80,72.5,65.5,57.5,50,50,30,20,30,30
1.5,70,65,60,55,50,50,30,20,40,35
1.75,60,57.5,55.5,52.5,50,50,40,35,45,42.5
2,50,50,50,50,50,50,50,50,50,50
