Load,Boost,EGRMass,BSFC,BSPM,BSNO
100,3.9,38.46414,236.7,0.024715871,2.5006
200,5.9,33.5614243,215.7,0.237434606,1.9196
300,9.6,34.15014168,199.3,1.034176684,0.7585
400,14.8,35.1429038,191.1,2.263856445,0.3800
500,44.8,31.88231774,151.2,0.078587399,1.1890
