Load,Boost,EGRMass,BSFC,BSPM,BSNO
100,4.0,32.40972553,292.8,0.059067442,2.3215
200,6.4,26.97275729,346.3,0.143579898,3.6269
300,8.9,31.52903524,331.1,0.969195117,1.2259
400,12.7,34.09851043,337.1,3.019825972,0.4160
500,39.5,30.76479367,210.3,0.489177106,1.4968
