Load,Boost,EGRMass,BSFC,BSPM,BSNO
100,4.1,33.8049519,317.3,0.054707341,2.6694
200,7.2,35.57334705,358.5,0.149938829,4.3754
300,11.8,33.05507141,326.1,0.431849675,2.5114
400,17.4,30.43012146,301.1,1.014878204,1.3513
500,40.3,31.4908083,205.8,0.173691025,1.2649
