Load,Boost,EGRMass,BSFC,BSPM,BSNO
100,4.1,38.38612892,228.9,0.024976575,2.6699
200,6.5,32.03539463,205.4,0.05824776,1.7926
300,11.1,34.69724984,192.0,0.147772423,0.8872
400,17.5,34.19652461,184.2,0.533613112,0.4508
500,44.2,31.95301092,149.8,0.086042826,1.2605
