Load,Boost,EGRMass,BSFC,BSPM,BSNO
100,1.9,29.12961786,319.0,0.050538405,3.5976
200,3.5,26.34293563,363.8,0.279318856,4.3045
300,5.4,29.37255173,333.4,1.567643744,1.5346
400,7.7,32.93775337,320.4,4.300051373,0.5808
500,36.4,30.98835272,193.7,1.117187758,1.5698
