TimeToEvent,BSFC (g/kW-hr),BSNO (g/kW-hr),BSPM (g/kW-hr),Corrected Exhaust,Test Time (100ms),Speed (rpm),Torque (lb-ft),Power (hp),Position,Control,Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Cylinder 5,Cylinder 6,Exhaust Temp,Pre Turbo Temp,Post Turbo Temp,Intake Temp,Cart Fuel Flow (kg/hr),PM Raw (ug/m^3),Turbo Position,Turbo Position Request,Turbo Boost ,Exhaust (kg/hr),LFE (kg/hr),NO Raw (ppm),EGR Meter,EGR Mass Flow (kg/hr),EGR Temp (K),EGR Venturi Guess,EGR Valve Raw,Speed,Torque,Time,Speed,Fuel Estimate (kg/hr),Boost (kPa),TurboSpeed,SSM,SOI Press Mpa,SOI Timing
-40.80,15543.9,790.758,6.205,178.31,1,700,2,0,0,0,91.476,87.598,87.277,79.112,80.857,69.625,104.664,24.328,30.45,24.444,1.048,1.00E+00,0.581373854,0.33575,1.009757814,266.6070092,169.3927071,216.3345683,-0.004156991,-13.07149677,320.3097005,-8.36194701,3.382613043,700.360677,0.505226363,5.8,695.0868097,0.780935315,-0.183570162,-1.0114E-111,1,42,9.183123356
-40.70,11070.0,673.661,5.973,234.53,2,700,1,0,0,0,91.476,87.598,87.277,79.112,80.857,69.625,104.664,24.328,30.45,24.444,0.999,1.28E+00,0.574383701,0.58575,1.000631833,315.7599255,177.2105,265.0584507,-0.004579515,-29.17894144,320.4017555,-19.71129787,4.282613043,700.4500607,0.65968974,5.9,697.7310542,0.726291998,-0.169574394,-1.3231E-108,1,42,9.220043127
-40.60,7296.6,526.273,4.856,236.99,3,701,1,0,0,0,91.476,87.598,87.277,79.112,80.857,69.625,104.664,24.328,30.45,24.444,0.999,8.76E-01,0.58548661,0.83575,1.00488111,317.9181372,182.4693451,238.9618615,-0.004918504,-43.59455314,320.2833269,-31.3912644,5.182613043,700.9094617,1.000797941,6,698.9448869,0.726731823,-0.169256116,6.7321E-105,1,42,9.210222052
-40.50,8630.1,749.966,4.990,183.64,4,701,1,0,0,0,91.476,87.598,87.277,79.112,80.857,69.625,104.664,24.328,30.45,24.444,0.999,5.81E-01,0.575526423,1.08575,0.990634174,271.2728896,186.1006893,236.3708488,-0.004412632,-64.82530718,320.3592664,-53.45298119,6.082613043,700.9571053,0.714078216,6.1,704.4830059,0.61333749,-0.48842569,1.4936E-101,1,42,9.238132625
-40.40,13786.6,1005.650,8.385,166.75,5,701,1,0,0,0,91.476,87.598,87.277,79.112,80.857,69.625,104.664,24.328,30.45,24.444,0.999,3.41E-01,0.594011056,1.33575,0.989425097,256.5037838,186.3395788,222.4375178,-0.004308023,-68.19135844,320.1044237,-57.71678847,6.982613043,701.1196114,0.433746962,6.2,705.7202641,0.595294477,-0.35050852,-3.63671E-97,1,42,9.256750923
-40.30,5830.9,292.873,3.869,219.35,6,701,1,0,0,0,91.476,87.598,87.277,79.112,80.857,69.625,104.664,24.328,30.45,24.444,0.999,1.51E-01,0.581325362,1.58575,0.994401947,302.4913988,187.2559246,167.7629925,-0.00426191,-68.38051316,320.2600527,-57.52284036,7.882613043,700.8623325,1.097471747,6.3,699.4202237,0.636803875,-0.407148191,1.85757E-93,1,42,9.238250374
-40.20,7905.1,550.648,2.428,225.49,7,701,1,0,0,0,91.476,87.598,87.277,79.112,80.857,69.625,104.664,24.328,30.45,24.444,1.005,2.18E-01,0.57350352,1.83575,0.995224747,307.8616517,189.4270814,259.0171974,-0.004343492,-71.08132576,320.068708,-60.0624208,8.782613043,700.673638,0.892400028,6.4,699.4496924,0.701823537,-0.503494269,4.06076E-90,1,42,9.250950383
-40.10,29863.0,2140.713,8.850,195.22,8,701,2,0,0,0,91.476,87.598,87.277,79.112,80.857,69.625,104.664,24.328,30.45,24.444,1.005,4.34E-01,0.57787082,2.08575,1.002048292,281.3912514,189.0840743,228.7333261,-0.004059305,-68.33957694,320.2026569,-56.59850218,9.682613043,700.9545659,0.264048726,6.5,698.2515563,0.784790881,-0.587282107,-9.99553E-86,1,42,9.246507044
-40.00,8042.2,470.456,1.880,190.66,9,700,1,0,0,0,91.476,87.598,87.277,79.112,80.857,69.625,104.664,24.328,30.45,24.444,1.005,4.81E-01,0.582804379,2.33575,1.003095339,277.4073379,189.4010221,222.9009959,-0.004250386,-67.66832431,320.1626752,-55.58763222,10.58261304,700.6584559,0.886984159,6.6,699.3535005,0.709647792,-0.312185325,5.1254E-82,1,42,9.226127997
-39.90,8924.9,515.708,8.019,188.74,10,700,1,0,0,0,91.517,87.546,87.16,78.922,80.394,69.661,104.546,24.333,30.407,24.413,1.005,4.48E-01,0.575609576,2.58575,1.001430882,275.7313393,188.7937513,189.597429,-0.004173584,-69.01580142,320.2822069,-57.61978852,11.48261304,700.6805104,0.693626016,6.7,704.2059357,0.615878967,-0.179398351,1.10384E-78,1,42,9.251098145
-39.80,8221.7,538.570,12.365,245.95,11,700,2,0,0,0,91.517,87.546,87.16,78.922,80.394,69.661,104.546,24.333,30.407,24.413,1.005,4.68E-01,0.582968024,2.83575,1.007086763,325.748766,188.081395,181.2822886,-0.003930731,-68.86867208,320.2872804,-57.76956553,12.38261304,700.4088043,0.785490568,6.8,703.1016537,0.642247138,-0.268776411,-2.74725E-74,1,42,9.24283414
-39.70,6104.5,542.644,7.868,186.24,12,700,1,0,0,0,91.517,87.546,87.16,78.922,80.394,69.661,104.546,24.333,30.407,24.413,0.999,4.34E-01,0.586757576,3.08575,0.997587495,273.5451999,188.5238414,241.9050604,-0.004355265,-69.09356096,320.460272,-57.85263227,13.28261304,700.7744766,1.102165753,6.9,696.719832,0.669459506,-0.514864597,1.41417E-70,1,42,9.250618369
-39.60,9297.8,466.767,4.856,187.70,13,700,2,0,0,0,91.517,87.546,87.16,78.922,80.394,69.661,104.546,24.333,30.407,24.413,0.999,4.76E-01,0.577941781,3.33575,0.9904761,274.8205428,187.7474341,224.6111994,-0.003783267,-65.68782481,320.3516276,-53.81618471,14.18261304,700.6138976,0.851838956,7,694.316978,0.787889309,-0.372553399,3.00007E-67,1,42,9.227925053
-39.50,7316.0,530.836,2.989,232.07,14,701,1,0,0,0,91.517,87.546,87.16,78.922,80.394,69.661,104.546,24.333,30.407,24.413,0.999,4.69E-01,0.566327485,3.58575,0.982189729,313.6158021,189.7269948,292.1661465,-0.004745652,-70.90304929,320.5419284,-59.6706741,15.08261304,700.5158353,0.975806879,7.1,698.6530707,0.710075021,-0.250584885,-7.5507E-63,1,42,9.244971406
