Load,Boost,EGRMass,BSFC,BSPM,BSNO
100,4.2,34.70839733,303.1,0.073708383,3.1026
200,8.1,28.86014104,319.6,0.339376564,5.0152
300,13.9,29.4871227,290.3,0.921530439,2.6315
400,18.8,29.7392987,273.0,1.049540264,1.4075
500,40.0,32.00937151,202.0,0.122329221,1.5473
