Load,Boost,EGRMass,BSFC,BSPM,BSNO
100,4.0,37.82885087,229.3,0.022320189,2.2912
200,6.1,31.69886603,229.6,0.342941148,2.1491
300,8.2,33.18913979,225.0,1.570036467,0.6346
400,13.2,35.89818163,225.3,3.375023787,0.3153
500,44.8,31.47748458,149.3,0.091198091,1.4073
