Load,Boost,EGRMass,BSFC,BSPM,BSNO
100,4.0,34.8230306,300.2,0.035643317,2.5162
200,7.8,27.3960743,336.9,0.45392914,5.7940
300,13.6,27.15552376,307.9,1.26684343,2.8659
400,18.2,29.14644408,289.5,1.389117931,0.9490
500,40.0,31.61523442,207.3,0.104873694,1.4414
