Speed,Load,BSFC,BSNO,BSPM,Boost,VGTPosition,EGRMass,EGRPosition,Fuel,RawNO,RawPM,LFE
1200,500,200.632,1.876,0.0495,56.118,45,32.0847,50,17.0922,320.2697,5.1765,481.9014
1400,500,203.407,2.680,0.0358,71.6453,30,28.629,30,20.2167,391.2734,3.2022,660.6183
1600,500,207.077,3.058,0.0304,77.8356,15,20.0658,10,23.5217,415.9507,2.531,811.5741
1800,500,214.928,2.522,0.0368,94.6008,12.5,20.0521,10,27.4652,324.7183,2.9029,965.1644
2000,500,225.846,2.213,0.0520,107.5942,10,20.5907,10,32.067,275.7838,3.9726,1107.2
