Load,Boost,EGRMass,BSFC,BSPM,BSNO
100,3.7,37.53115467,237.8,0.028812089,2.5134
200,6.6,33.00769783,193.9,0.066250587,1.6305
300,11.5,34.18408226,189.4,0.165952024,1.0214
400,18.4,33.49575616,175.0,0.439634973,0.6435
500,43.3,32.32172385,151.3,0.074763892,1.2519
