BSFC (g/kW-hr),BSNO (g/kW-hr),BSPM (g/kW-hr),Corrected Exhaust,TimeToEvent,Test Time (100ms),Speed (rpm),Torque (lb-ft),Power (hp),Position,Control,Cylinder 1,Cylinder 2,Cylinder 3,Cylinder 4,Cylinder 5,Cylinder 6,Exhaust Temp,Pre Turbo Temp,Post Turbo Temp,Intake Temp,Cart Fuel Flow (kg/hr),PM Raw (ug/m^3),Turbo Position,Turbo Position Request,Turbo Boost ,Exhaust (kg/hr),LFE (kg/hr),NO Raw (ppm),EGR Meter,EGR Mass Flow (kg/hr),EGR Temp (K),EGR Venturi Guess,EGR Valve Raw,Speed,Torque,Time,Speed,Fuel Estimate (kg/hr),Boost (kPa),TurboSpeed,SSM,SOI Press Mpa,SOI Timing
8666.5,442.615,1.934,232.16,-40.80,1,700,1,0,0,0,91.657,87.857,87.992,79.658,80.75,69.497,103.367,24.308,30.695,24.395,1.024,5.38E-01,0.592042546,0.4175,0.9947518,313.6906325,173.78953,205.8817216,-0.003891141,-19.07468441,318.348745,-12.32892961,3.676913043,700.2840611,0.875165303,4.5,696.7542988,0.754140464,-0.151389037,1.36506E-63,1,42,9.224878786
5619.6,402.904,1.476,255.31,-40.70,2,700,2,0,0,0,91.402,87.763,87.649,79.174,80.931,69.488,103.313,24.308,30.661,24.386,1.024,4.70E-01,0.568730046,0.6675,1.004963674,333.9315331,179.8911639,209.2729322,-0.003817406,-31.11158596,318.1427963,-20.91119385,4.576913043,700.5286364,1.282735264,4.6,698.7409454,0.716994088,-0.315169163,3.11322E-67,1,42,9.222298158
5773.4,399.171,1.604,182.82,-40.60,3,700,1,0,0,0,91.402,87.763,87.649,79.174,80.931,69.488,103.313,24.308,30.661,24.386,1.01,4.25E-01,0.585544691,0.9175,1.002195552,270.5557641,184.5529462,242.7040597,-0.003543932,-44.68403053,318.5737222,-31.94707724,5.476913043,700.2492049,1.312060874,4.7,695.3060757,0.753155781,-0.225598016,-7.73679E-71,1,42,9.229665061
6948.0,411.486,2.011,187.08,-40.50,4,700,1,0,0,0,91.402,87.763,87.649,79.174,80.931,69.488,103.313,24.308,30.661,24.386,1.01,3.75E-01,0.575423599,1.1675,0.994705956,274.2756019,187.3868218,225.1357896,-0.004489108,-65.0089044,318.6529116,-53.12143383,6.376913043,700.27896,1.09881958,4.8,697.8650071,0.759104933,-0.049243849,4.99489E-75,1,42,9.207094402
5725.8,328.289,2.825,245.64,-40.40,5,700,1,0,0,0,91.402,87.763,87.649,79.174,80.931,69.488,103.313,24.308,30.661,24.386,1.01,3.29E-01,0.658332791,1.4175,0.994710474,325.4759248,189.0684915,192.8867607,-0.003999733,-65.99385725,318.5727561,-53.62100621,7.276913043,700.1099405,1.29448777,4.9,702.2555197,0.73679587,-0.110391756,1.12672E-78,1,42,9.222852104
7279.0,616.977,5.380,214.55,-40.30,6,700,1,0,0,0,91.402,87.763,87.649,79.174,80.931,69.488,103.313,24.308,30.661,24.386,1.01,3.97E-01,0.664552433,1.6675,0.995340452,298.2981944,190.291793,252.133553,-0.003920526,-68.88246679,318.1237055,-56.73572943,8.176913043,700.0883402,0.945791702,5,700.7099899,0.68432836,-0.382879845,-2.81338E-82,1,42,9.244814935
13368.3,1031.405,9.234,199.69,-40.20,7,700,1,0,0,0,91.402,87.763,87.649,79.174,80.931,69.488,103.313,24.308,30.661,24.386,1.01,2.66E-01,0.593995126,1.9175,1.005513906,285.3027472,188.3242989,245.2422851,-0.004484004,-58.4042767,318.4555631,-44.95402304,9.076913043,700.4677482,0.534408624,5.1,699.2410495,0.710532297,-0.715798343,1.82758E-86,1,42,9.242609167
5364.7,328.599,3.026,219.01,-40.10,8,700,1,0,0,0,91.402,87.763,87.649,79.174,80.931,69.488,103.313,24.308,30.661,24.386,1.01,3.00E-01,0.663219971,2.1675,1.006572754,302.194871,191.0135871,248.2894382,-0.003853621,-65.4742501,318.5138184,-52.15436981,9.976913043,700.8017398,1.353775486,5.2,697.7496334,0.722658187,-0.388665768,4.07766E-90,1,42,9.238642942
8435.8,421.649,6.525,230.06,-40.00,9,701,1,0,0,0,91.402,87.763,87.649,79.174,80.931,69.488,103.313,24.308,30.661,24.386,1.01,8.17E-01,0.675844843,2.4175,1.007895874,311.8516359,189.7266266,175.765429,-0.004331175,-69.12131826,318.4346737,-57.31200326,10.87691304,700.9593285,0.846864528,5.3,699.4476395,0.711019422,-0.422114962,-1.02304E-93,1,42,9.238731523
12329.7,861.931,10.054,223.53,-39.90,10,701,1,0,0,0,91.402,87.763,87.649,79.174,80.931,69.488,103.313,24.308,30.661,24.386,1.01,1.00E+00,0.666160468,2.6675,0.996936855,306.1488958,189.7022956,203.7586097,-0.004507661,-66.45197059,318.5467695,-53.91626396,11.77691304,700.5608026,0.573330349,5.4,700.3371221,0.703151723,-0.124815308,6.68657E-98,1,42,9.246799105
9209.7,870.189,4.122,178.28,-39.80,11,700,1,0,0,0,91.402,87.763,87.649,79.174,80.931,69.488,103.313,24.308,30.661,24.386,1.01,6.47E-01,0.672111082,2.9175,0.999184414,266.582837,189.8550977,223.1842118,-0.004584653,-67.8811841,318.5322005,-55.65221454,12.67691304,700.9372222,0.655317047,5.5,705.226935,0.600648415,-0.302049756,1.4757E-101,1,42,9.237155724
6409.3,346.781,1.486,202.20,-39.70,12,701,1,0,0,0,91.607,87.698,87.601,79.869,80.834,69.53,103.348,24.305,30.599,24.371,1.01,4.15E-01,0.573730147,3.1675,1.000501945,287.4936901,189.8785842,197.5384321,-0.003616171,-61.35629246,318.495163,-47.73980578,13.57691304,700.9823158,1.054153652,5.6,701.3252623,0.672465132,-0.211524438,-3.7201E-105,1,42,9.192833329
9712.6,497.668,1.677,241.24,-39.60,13,701,1,0,0,0,91.607,87.698,87.601,79.869,80.834,69.53,103.348,24.305,30.599,24.371,1.045,4.01E-01,0.591130369,3.4175,0.995625212,321.6318363,190.9323246,227.9132505,-0.004373857,-69.54465866,318.7813229,-57.29137153,14.47691304,700.8194323,0.82429739,5.7,694.681506,0.796658511,-0.136512005,2.4463E-109,1,42,9.222823761
7024.0,504.308,1.770,254.29,-39.50,14,701,2,0,0,0,91.607,87.698,87.601,79.869,80.834,69.53,103.348,24.305,30.599,24.371,1.045,6.81E-01,0.682582207,3.6675,0.997661149,333.0378879,191.4114787,216.6890998,-0.004200383,-63.74162562,318.9319971,-49.92692018,15.37691304,701.0809053,1.049796967,5.8,698.7904983,0.734013268,-0.296915985,5.3402E-113,1,42,9.225244341
8123.1,551.019,1.480,184.19,-39.40,15,701,1,0,0,0,91.607,87.698,87.601,79.869,80.834,69.53,103.348,24.305,30.599,24.371,1.045,6.04E-01,0.683913605,3.9175,0.990801197,271.7502447,190.3037957,241.6902776,-0.004439548,-65.49755061,318.8201299,-52.47938559,16.27691304,700.8849202,0.902060752,5.9,696.332906,0.729205181,-0.023106678,-1.3527E-116,1,42,9.194040723
18596.0,1075.835,2.768,179.10,-39.30,16,701,1,0,0,0,91.607,87.698,87.601,79.869,80.834,69.53,103.348,24.305,30.599,24.371,1.045,2.30E-01,0.718394661,4.1675,0.994515985,267.3060704,190.1637365,219.7376166,-0.004167564,-66.34922858,318.8325341,-53.58760429,17.17691304,700.7821854,0.402175463,6,698.7531233,0.744155831,-0.157990508,8.9493E-121,1,42,9.19897961
5205.5,343.441,0.842,243.21,-39.20,17,701,1,0,0,0,91.607,87.698,87.601,79.869,80.834,69.53,103.348,24.305,30.599,24.371,1.045,2.19E-01,0.719660652,4.4175,0.992285882,323.3507969,189.4796487,187.2668191,-0.0044886,-66.5761516,318.8509809,-54.1694526,18.07691304,700.893143,1.209502421,6.1,703.5330088,0.626570592,0.0715954,1.9325E-124,1,42,9.210785672
7989.3,735.998,1.915,204.66,-39.10,18,701,1,0,0,0,91.607,87.698,87.601,79.869,80.834,69.53,103.348,24.305,30.599,24.371,1.063,2.42E-01,0.735228527,4.6675,1.010881307,289.6499566,189.7434403,258.6374811,-0.00390382,-65.54412873,318.6125927,-52.77334302,18.97691304,700.813959,0.836293734,6.2,701.3342057,0.664835938,-0.070780262,-4.9188E-128,1,42,9.213904961
28574.9,1800.846,11.591,195.92,-39.00,19,701,1,0,0,0,91.607,87.698,87.601,79.869,80.834,69.53,103.348,24.305,30.599,24.371,1.063,2.30E-01,0.752590866,4.9175,1.010585073,282.0104154,190.1546903,204.3690533,-0.004685628,-40.70053632,318.3164286,-27.23279028,19.87691304,700.6267338,0.244693502,6.3,699.5946193,0.695568662,-0.513953274,3.2737E-132,1,42,9.199354124
